"group","trait","analysis","configuration_label","folds_used","r2"
"Cluster 6","Crown_diameter","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.217792534400733
"Cluster 6","Crown_diameter","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.00834421409779529
"Cluster 6","Crown_diameter","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.333134099524459
"Cluster 6","Tree_height","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.247491303839466
"Cluster 6","Tree_height","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.233714890715237
"Cluster 6","Tree_height","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.332498589478111
"Cluster 6","Tree_height","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.336159130252217
"Cluster 6","Tree_height","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.268931540234638
"Cluster 6","Tree_height","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.268840767202186
"Cluster 6","Tree_height","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.337116795424961
"Cluster 6","Tree_height","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.339749519799691
